	polarity	word
0	positive	à ce endroit là
1	negative	à le hâte
2	negative	à part
3	negative	à pic
4	negative	à rallonge
5	negative	abasourdir
6	negative	ablation
7	negative	abominable
8	negative	abrupt
9	negative	absent
10	positive	absorber
11	negative	absurde
12	positive	acceptable
13	negative	accidentel
14	negative	accusateur
15	negative	accuser
16	positive	acheteur
17	positive	acquisition
18	positive	active
19	positive	actuel
20	positive	addition
21	positive	adhésif
22	positive	administration
23	positive	administratif
24	positive	administrateur
25	positive	admirateur
26	positive	admissible
27	positive	adolescent
28	positive	aérien
29	positive	affable
30	positive	affaire
31	positive	affectueux
32	positive	affirmative
33	negative	affliger
34	negative	affreux
35	positive	agent de conservation
36	positive	agent de police
37	positive	agrafe
38	positive	agréable
39	negative	agressif
40	positive	agriculteur
41	positive	aiguiser
42	positive	aimer
43	positive	aîné
44	positive	aisément
45	positive	alcalin
46	positive	alentour
47	negative	allonger
48	positive	allure
49	negative	allusion
50	positive	alternative
51	negative	amas
52	negative	amatrice
53	positive	ambassadrice
54	positive	ambitieux
55	positive	amélioration
56	positive	ami
57	negative	amourette
58	positive	analyse
59	negative	ancien
60	positive	ancien élève
61	positive	anguleux
62	negative	animal
63	positive	annuel
64	positive	anticipatif
65	negative	anxieux
66	negative	apathique
67	positive	apparenter
68	positive	apprenant
69	positive	apprenti
70	positive	approbation
71	positive	approbateur
72	positive	approcher
73	positive	approprier
74	positive	approximatif
75	positive	appui
76	negative	aqueux
77	positive	ardent
78	negative	arête
79	negative	aride
80	positive	armature
81	negative	arnaqueur
82	positive	arrondissement
83	positive	artisane
84	positive	asile
85	negative	asphyxie
86	positive	aspiration
87	negative	assaillant
88	positive	assentiment
89	positive	assidu
90	positive	assistance
91	positive	assistant
92	negative	assourdir
93	negative	asticot
94	positive	astucieux
95	negative	athéiste
96	negative	attarder mental
97	positive	attentif
98	positive	attirer
99	positive	attitude amical
100	positive	attroupement
101	negative	au chômage
102	positive	au gouvernement
103	positive	au premier plan
104	positive	auditif
105	positive	auditeur
106	negative	augure
107	positive	aussi que
108	positive	autonomie
109	positive	autosatisfaction
110	negative	avant dernier
111	positive	avantageux
112	negative	avec amertume
113	positive	avec fermeté
114	positive	avec insistance
115	positive	avec lequel
116	positive	aventureux
117	positive	aventurier
118	positive	avocat
119	negative	avoir du chagrin
120	negative	avouer
121	positive	badaud
122	negative	bafouiller
123	negative	baisse
124	negative	baissière
125	negative	balaise
126	positive	balbutiement
127	negative	banlieusard
128	positive	bannière
129	positive	banquière
130	negative	banshie
131	positive	baraquer
132	negative	barge
133	negative	bâtard
134	positive	batifoler
135	positive	battant
136	positive	batteuse
137	negative	bavardage
138	negative	bavard
139	negative	bazar
140	positive	beau
141	negative	belliqueux
142	positive	bénigne
143	negative	bête
144	negative	beuglement
145	negative	beugler
146	positive	bien
147	positive	bienfaiteur
148	positive	bienheureux
149	positive	bienveillance
150	positive	bijoutier
151	positive	bimensuel
152	positive	bisannuel
153	positive	bisexuel
154	positive	blagueur
155	positive	blanc
156	negative	bloquer
157	negative	boiteux
158	positive	bon à manger
159	negative	bon à rien
160	positive	bord
161	positive	bord de mer
162	negative	boueux
163	negative	bouleverser
164	negative	bourbe
165	negative	bourde
166	negative	bourgeois
167	negative	bourrasque
168	negative	bourru
169	negative	boutonneux
170	positive	boxeuse
171	negative	boycottage
172	positive	brève
173	positive	brillant
174	positive	briller
175	positive	broche
176	negative	brouiller
177	negative	broussailleux
178	negative	brumeux
179	negative	bruyamment
180	negative	bruyère
181	positive	câble
182	negative	cache nez
183	negative	caduque
184	negative	cafouiller
185	negative	cafteur
186	negative	caillouteux
187	positive	caissier
188	positive	calcul
189	negative	calleux
190	positive	calme
191	positive	calmer
192	negative	calomnieux
193	negative	calvaire
194	negative	cambrioleur
195	positive	candidat
196	negative	candide
197	positive	capital
198	negative	capiteux
199	positive	capitonnage
200	negative	capricieux
201	positive	capsule
202	positive	captiver
203	negative	captif
204	negative	capturer au lasso
205	positive	caritatif
206	positive	cascade
207	negative	catcheur
208	negative	caustique
209	positive	cavalier
210	positive	cédant
211	positive	cellier
212	positive	cérémoniel
213	negative	chahut
214	negative	chahuteur
215	negative	chamailleur
216	positive	champion
217	positive	chancelière
218	positive	chanceux
219	positive	chanteur
220	negative	chaotique
221	positive	charade
222	negative	charge
223	positive	charme
224	negative	charnel
225	negative	chasseur
226	negative	chatouilleur
227	positive	chemin
228	negative	chenapan
229	positive	chercheur
230	negative	chétif
231	negative	chevelu
232	positive	chirurgien
233	negative	chômeur
234	negative	cingler
235	positive	circonscription
236	negative	cireur
237	positive	citoyen
238	positive	civil
239	positive	clairvoyant
240	negative	claquement
241	negative	classification
242	positive	clef
243	positive	clément
244	positive	client
245	negative	clore
246	negative	coder
247	negative	coercitif
248	positive	cognitif
249	positive	cohérence
250	positive	cohésion
251	positive	cohésif
252	positive	coiffeur|coiffeuse
253	positive	collaborateur
254	positive	collecter
255	positive	collectionneur
256	positive	collectif
257	negative	colonisateur
258	negative	comateux
259	positive	combattant
260	positive	comique
261	positive	commémoratif
262	positive	commencement
263	positive	commentateur
264	positive	commerçant
265	positive	commission
266	positive	commode
267	positive	commun
268	positive	communicatif
269	positive	compact
270	positive	compensateur
271	positive	compétence
272	negative	compétitif
273	positive	complètement
274	negative	comploter
275	positive	compositeur
276	positive	concevoir
